File,Run,Module,Name,
Referenz-0.sca,General-0-20210310-18:15:00-24740,Flooding_Network.originator[0].networkLayer.ip,blacked:count,0
Referenz-0.sca,General-0-20210310-18:15:00-24740,Flooding_Network.originator[0].networkLayer.ip,delayed:count,0
Referenz-0.sca,General-0-20210310-18:15:00-24740,Flooding_Network.originator[0].networkLayer.ip,rcvdPkt:count,1507
Referenz-0.sca,General-0-20210310-18:15:00-24740,Flooding_Network.originator[0].networkLayer.ip,droppings:count,0
Referenz-0.sca,General-0-20210310-18:15:00-24740,Flooding_Network.originator[0].networkLayer.arp,failedResolution:count,0
Referenz-0.sca,General-0-20210310-18:15:00-24740,Flooding_Network.originator[0].networkLayer.arp,initiatedResolution:count,0
Referenz-0.sca,General-0-20210310-18:15:00-24740,Flooding_Network.originator[0].networkLayer.arp,sentReplies:count,0
Referenz-0.sca,General-0-20210310-18:15:00-24740,Flooding_Network.originator[0].networkLayer.arp,sentReq:count,0
Referenz-0.sca,General-0-20210310-18:15:00-24740,Flooding_Network.originator[0].wlan[0].mgmt,dropPkByQueue:count,0
Referenz-0.sca,General-0-20210310-18:15:00-24740,Flooding_Network.originator[0].wlan[0].mgmt,dropPkByQueue:sum(packetBytes),0
Referenz-0.sca,General-0-20210310-18:15:00-24740,Flooding_Network.originator[0].wlan[0].mgmt,dataQueueLen:max,5
Referenz-0.sca,General-0-20210310-18:15:00-24740,Flooding_Network.originator[0].wlan[0].mgmt,dataQueueLen:timeavg,0.000923876
Referenz-0.sca,General-0-20210310-18:15:00-24740,Flooding_Network.originator[0].wlan[0].mac,number of received packets,1591
Referenz-0.sca,General-0-20210310-18:15:00-24740,Flooding_Network.originator[0].wlan[0].mac,number of collisions,3177
Referenz-0.sca,General-0-20210310-18:15:00-24740,Flooding_Network.originator[0].wlan[0].mac,number of internal collisions,0
Referenz-0.sca,General-0-20210310-18:15:00-24740,Flooding_Network.originator[0].wlan[0].mac,number of retry for AC 0,1371
Referenz-0.sca,General-0-20210310-18:15:00-24740,Flooding_Network.originator[0].wlan[0].mac,sent and receive bites,9.46649e+006
Referenz-0.sca,General-0-20210310-18:15:00-24740,Flooding_Network.originator[0].wlan[0].mac,sent packet within AC 0,1987
Referenz-0.sca,General-0-20210310-18:15:00-24740,Flooding_Network.originator[0].wlan[0].mac,sent in TXOP ,0
Referenz-0.sca,General-0-20210310-18:15:00-24740,Flooding_Network.originator[0].wlan[0].mac,sentWithoutRetry AC 0,1757
Referenz-0.sca,General-0-20210310-18:15:00-24740,Flooding_Network.originator[0].wlan[0].mac,numGivenUp AC 0,169
Referenz-0.sca,General-0-20210310-18:15:00-24740,Flooding_Network.originator[0].wlan[0].mac,numDropped AC 0,0
Referenz-0.sca,General-0-20210310-18:15:00-24740,Flooding_Network.originator[0].wlan[0].radio,lossRate:min,0
Referenz-0.sca,General-0-20210310-18:15:00-24740,Flooding_Network.originator[0].wlan[0].radio,lossRate:max,0.42
Referenz-0.sca,General-0-20210310-18:15:00-24740,Flooding_Network.originator[0].wlan[0].radio,lossRate:timeavg,0.0641972
Referenz-0.sca,General-0-20210310-18:15:00-24740,Flooding_Network.originator[0].wlan[0].radio,radioState:count,331571
Referenz-0.sca,General-0-20210310-18:15:00-24740,Flooding_Network.originator[0].wlan[0].radio,channelNo:histogram:count,1
Referenz-0.sca,General-0-20210310-18:15:00-24740,Flooding_Network.originator[0].wlan[0].radio,channelNo:histogram:mean,0
Referenz-0.sca,General-0-20210310-18:15:00-24740,Flooding_Network.originator[0].wlan[0].radio,channelNo:histogram:stddev,NaN
Referenz-0.sca,General-0-20210310-18:15:00-24740,Flooding_Network.originator[0].wlan[0].radio,channelNo:histogram:sum,0
Referenz-0.sca,General-0-20210310-18:15:00-24740,Flooding_Network.originator[0].wlan[0].radio,channelNo:histogram:sqrsum,0
Referenz-0.sca,General-0-20210310-18:15:00-24740,Flooding_Network.originator[0].wlan[0].radio,channelNo:histogram:min,0
Referenz-0.sca,General-0-20210310-18:15:00-24740,Flooding_Network.originator[0].wlan[0].radio,channelNo:histogram:max,0
Referenz-0.sca,General-0-20210310-18:15:00-24740,Flooding_Network.originator[0].wlan[0].radio,bitrate:min,5.4e+007
Referenz-0.sca,General-0-20210310-18:15:00-24740,Flooding_Network.originator[0].wlan[0].radio,bitrate:max,5.4e+007
Referenz-0.sca,General-0-20210310-18:15:00-24740,Flooding_Network.originator[0].wlan[0].radio,bitrate:timeavg,5.4e+007
Referenz-0.sca,General-0-20210310-18:15:00-24740,Flooding_Network.originator[0].udpApp[0],packets sent,584
Referenz-0.sca,General-0-20210310-18:15:00-24740,Flooding_Network.originator[0].udpApp[0],packets received,0
Referenz-0.sca,General-0-20210310-18:15:00-24740,Flooding_Network.originator[0].udpApp[0],sentPk:count,584
